(base) xiazeyu@d01:/mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/cs
336_basics$ conda activate cs336
(cs336) xiazeyu@d01:/mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/c
s336_basics$ cd /mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/cs336
_basics
(cs336) xiazeyu@d01:/mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/c
s336_basics$ python train_loop.py
模型参数数量: 22,696,448
训练数据加载完成:
  - 文件路径: ../artifacts/tinystories_train.bin
  - Token 总数: 540,803,381
  - 数据类型: uint16
  - 内存占用: 1031.50 MB (虚拟，实际按需加载)
total_steps: 10000

训练设备: cuda
总训练步数: 10000
评估间隔: 100 步
Step 3330/10000 | Train Loss: 2.0538
Step 3340/10000 | Train Loss: 2.0234
Step 3350/10000 | Train Loss: 1.9745
Step 3360/10000 | Train Loss: 2.0021
Step 3370/10000 | Train Loss: 2.0390
Step 3380/10000 | Train Loss: 2.0002
Step 3390/10000 | Train Loss: 1.9404
Step 3400/10000 | Train Loss: 1.9660 | Eval Train Loss: 2.0228
Step 3410/10000 | Train Loss: 2.0147
Step 3420/10000 | Train Loss: 1.9758
Step 3430/10000 | Train Loss: 1.9973
Step 3440/10000 | Train Loss: 1.9767
Step 3450/10000 | Train Loss: 1.9940
Step 3460/10000 | Train Loss: 2.0392
Step 3470/10000 | Train Loss: 2.0083
Step 3480/10000 | Train Loss: 1.9838
Step 3490/10000 | Train Loss: 1.9692
Step 3500/10000 | Train Loss: 2.0162 | Eval Train Loss: 2.0009
Step 3510/10000 | Train Loss: 1.9401
Step 3520/10000 | Train Loss: 2.0265
Step 3530/10000 | Train Loss: 1.9762
Step 3540/10000 | Train Loss: 1.9741
Step 3550/10000 | Train Loss: 1.9498
Step 3560/10000 | Train Loss: 1.9918
Step 3570/10000 | Train Loss: 2.0524
Step 3580/10000 | Train Loss: 1.9760
Step 3590/10000 | Train Loss: 2.0032
Step 3600/10000 | Train Loss: 1.9806 | Eval Train Loss: 1.9773
Step 3610/10000 | Train Loss: 1.9683
Step 3620/10000 | Train Loss: 1.9858
Step 3630/10000 | Train Loss: 2.0215
Step 3640/10000 | Train Loss: 1.9632
Step 3650/10000 | Train Loss: 1.9783
Step 3660/10000 | Train Loss: 1.9940
Step 3670/10000 | Train Loss: 1.9916
Step 3680/10000 | Train Loss: 1.9868
Step 3690/10000 | Train Loss: 2.0145
Step 3700/10000 | Train Loss: 2.0278 | Eval Train Loss: 1.9781
Step 3710/10000 | Train Loss: 1.9629
Step 3720/10000 | Train Loss: 1.9615
Step 3730/10000 | Train Loss: 2.0087
Step 3740/10000 | Train Loss: 1.9506
Step 3750/10000 | Train Loss: 1.9537
Step 3760/10000 | Train Loss: 1.9898
Step 3770/10000 | Train Loss: 2.0112
Step 3780/10000 | Train Loss: 1.9996
Step 3790/10000 | Train Loss: 1.9640
Step 3800/10000 | Train Loss: 1.9612 | Eval Train Loss: 1.9501
Step 3810/10000 | Train Loss: 1.9752
Step 3820/10000 | Train Loss: 1.9699
Step 3830/10000 | Train Loss: 1.9936
Step 3840/10000 | Train Loss: 1.9196
Step 3850/10000 | Train Loss: 1.9268
Step 3860/10000 | Train Loss: 1.9887
Step 3870/10000 | Train Loss: 2.0001
Step 3880/10000 | Train Loss: 1.9631
Step 3890/10000 | Train Loss: 1.9610
Step 3900/10000 | Train Loss: 1.9367 | Eval Train Loss: 1.9680
Step 3910/10000 | Train Loss: 1.9738
Step 3920/10000 | Train Loss: 1.9466
Step 3930/10000 | Train Loss: 1.9546
Step 3940/10000 | Train Loss: 1.9806
Step 3950/10000 | Train Loss: 1.9528
Step 3960/10000 | Train Loss: 1.9264
Step 3970/10000 | Train Loss: 1.9303
Step 3980/10000 | Train Loss: 1.9164
Step 3990/10000 | Train Loss: 1.9260
Step 4000/10000 | Train Loss: 1.9804 | Eval Train Loss: 1.9413
Step 4010/10000 | Train Loss: 1.9366
Step 4020/10000 | Train Loss: 1.9152
Step 4030/10000 | Train Loss: 1.9240
Step 4040/10000 | Train Loss: 1.8842
Step 4050/10000 | Train Loss: 1.9899
Step 4060/10000 | Train Loss: 1.9328
Step 4070/10000 | Train Loss: 1.9106
Step 4080/10000 | Train Loss: 1.8990
Step 4090/10000 | Train Loss: 1.9141
Step 4100/10000 | Train Loss: 1.9261 | Eval Train Loss: 1.9245
Step 4110/10000 | Train Loss: 1.8826
Step 4120/10000 | Train Loss: 1.9069
Step 4130/10000 | Train Loss: 1.9459
Step 4140/10000 | Train Loss: 1.8827
Step 4150/10000 | Train Loss: 1.9363
Step 4160/10000 | Train Loss: 1.9091
Step 4170/10000 | Train Loss: 1.9642
Step 4180/10000 | Train Loss: 1.9865
Step 4190/10000 | Train Loss: 1.8807
Step 4200/10000 | Train Loss: 1.9632 | Eval Train Loss: 1.9215
Step 4210/10000 | Train Loss: 1.8979
Step 4220/10000 | Train Loss: 1.9183
Step 4230/10000 | Train Loss: 1.8719
Step 4240/10000 | Train Loss: 1.9686
Step 4250/10000 | Train Loss: 1.9014
Step 4260/10000 | Train Loss: 1.8888
Step 4270/10000 | Train Loss: 1.9140
Step 4280/10000 | Train Loss: 1.9179
Step 4290/10000 | Train Loss: 1.9232
Step 4300/10000 | Train Loss: 1.9038 | Eval Train Loss: 1.9015
Step 4310/10000 | Train Loss: 1.8820
Step 4320/10000 | Train Loss: 1.9238
Step 4330/10000 | Train Loss: 1.8865
Step 4340/10000 | Train Loss: 1.9093
Step 4350/10000 | Train Loss: 1.8822
Step 4360/10000 | Train Loss: 1.8545
Step 4370/10000 | Train Loss: 1.8856
Step 4380/10000 | Train Loss: 1.9132
Step 4390/10000 | Train Loss: 1.9186
Step 4400/10000 | Train Loss: 1.9496 | Eval Train Loss: 1.9093
Step 4410/10000 | Train Loss: 1.9050
